host_id,longitude,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded
11129295.0,-73.92829,1.0,1.0,0.0,21.0,1.0
9486614.0,-73.94654,0.0,1.0,51.0,2.0,1.0
202636642.0,-73.9755,28.0,1.0,158.0,8.0,1.0
36430529.0,-73.99265,0.0,1.0,0.0,7.0,1.0
237421509.0,-73.92284,3.0,2.0,0.0,6.0,0.0
70181422.0,-73.9798,1.0,4.0,0.0,17.0,0.0
22502429.0,-73.97485,9.0,1.0,0.0,8.0,1.0
11827364.0,-73.92435,9.0,1.0,76.0,39.0,0.0
137274917.0,-73.9917,63.0,12.0,267.0,7.0,0.0
46969.0,-74.07451,242.0,1.0,256.0,89.0,1.0
264824216.0,-73.95562,2.0,3.0,54.0,2.0,0.0
2419727.0,-73.98377,17.0,1.0,227.0,19.0,0.0
116056294.0,-73.85331,34.0,1.0,347.0,87.0,0.0
54712.0,-73.95459,0.0,2.0,280.0,20.0,1.0
50451849.0,-73.91762,92.0,1.0,12.0,56.0,1.0
12531773.0,-73.95368,68.0,2.0,102.0,2.0,0.0
23863809.0,-73.99855,0.0,2.0,0.0,14.0,0.0
1413658.0,-73.97352,13.0,1.0,179.0,13.0,1.0
238354.0,-73.9607,125.0,1.0,271.0,3.0,1.0
1103252.0,-73.95211,104.0,1.0,146.0,20.0,0.0
185267820.0,-73.94322,52.0,1.0,161.0,20.0,1.0
51340124.0,-73.99214,0.0,2.0,0.0,14.0,0.0
17896706.0,-73.95482,58.0,1.0,158.0,28.0,1.0
13203690.0,-73.90906,0.0,1.0,0.0,56.0,1.0
143048.0,-73.98295,30.0,1.0,248.0,19.0,1.0
264761028.0,-74.00475,5.0,1.0,164.0,11.0,1.0
639926.0,-73.97717,10.0,1.0,0.0,19.0,1.0
33529908.0,-73.99937,0.0,1.0,5.0,14.0,0.0
190921808.0,-73.99502,5.0,47.0,318.0,7.0,0.0
21366569.0,-73.99298,49.0,2.0,251.0,7.0,1.0
119108169.0,-73.95819,1.0,1.0,0.0,6.0,0.0
94509134.0,-73.96325,12.0,1.0,9.0,15.0,1.0
7503643.0,-73.94029,4.0,52.0,337.0,20.0,1.0
2971336.0,-73.96628,5.0,2.0,0.0,12.0,0.0
118745519.0,-73.99694,67.0,1.0,189.0,53.0,1.0
24762401.0,-73.95042,11.0,4.0,361.0,6.0,0.0
3151.0,-73.96773,1.0,1.0,179.0,3.0,0.0
50640005.0,-73.9982,0.0,1.0,0.0,52.0,1.0
2521642.0,-73.91339,14.0,1.0,123.0,49.0,0.0
219727469.0,-73.91037,2.0,4.0,9.0,6.0,0.0
3617473.0,-73.91428,3.0,1.0,213.0,39.0,1.0
240237028.0,-73.90191,14.0,1.0,168.0,44.0,0.0
132908616.0,-73.92264,25.0,2.0,44.0,21.0,0.0
9212686.0,-73.93695,1.0,1.0,0.0,6.0,0.0
235115405.0,-73.95332,13.0,2.0,9.0,12.0,0.0
12133055.0,-73.99071,124.0,1.0,261.0,7.0,1.0
4073971.0,-73.94988,0.0,1.0,80.0,6.0,1.0
6198836.0,-73.92115,1.0,1.0,45.0,21.0,1.0
25528796.0,-74.0044,0.0,1.0,0.0,77.0,1.0
263945896.0,-73.87912,3.0,1.0,64.0,81.0,0.0
42905152.0,-73.94163,0.0,1.0,42.0,20.0,1.0
20365135.0,-73.98726,3.0,1.0,0.0,19.0,0.0
36211685.0,-73.91464,1.0,1.0,0.0,44.0,0.0
15787004.0,-73.92296,2.0,5.0,0.0,21.0,0.0
63417081.0,-73.94426,1.0,8.0,310.0,2.0,0.0
8869875.0,-73.962,5.0,1.0,0.0,28.0,1.0
236107297.0,-73.9941,1.0,1.0,124.0,64.0,1.0
1500487.0,-73.95408,0.0,1.0,0.0,12.0,1.0
5606448.0,-73.9483,71.0,1.0,273.0,20.0,1.0
32479008.0,-73.98116,47.0,1.0,291.0,16.0,1.0
77303930.0,-73.98766,1.0,1.0,0.0,23.0,1.0
35328956.0,-73.95906,2.0,1.0,0.0,6.0,0.0
225055374.0,-73.95449,0.0,3.0,331.0,28.0,2.0
43388555.0,-73.92952,0.0,1.0,37.0,30.0,1.0
14942276.0,-73.95649,99.0,2.0,239.0,12.0,1.0
54689007.0,-74.00596,0.0,3.0,53.0,43.0,1.0
23439479.0,-73.92677,18.0,2.0,336.0,18.0,0.0
202665.0,-73.95865,4.0,1.0,0.0,6.0,1.0
27589350.0,-73.92307,0.0,1.0,13.0,56.0,0.0
253925102.0,-73.97154,0.0,1.0,96.0,1.0,0.0
96694697.0,-73.96023,11.0,2.0,156.0,73.0,0.0
123506305.0,-73.77638,0.0,3.0,180.0,152.0,0.0
116854478.0,-73.99846,0.0,1.0,0.0,33.0,1.0
205745676.0,-73.82013,28.0,9.0,346.0,37.0,0.0
5516133.0,-73.94781,7.0,1.0,0.0,20.0,0.0
154949847.0,-73.99654,66.0,2.0,300.0,7.0,1.0
3938536.0,-73.95688,1.0,1.0,0.0,20.0,0.0
9784153.0,-73.9618,0.0,1.0,0.0,3.0,0.0
25346530.0,-73.95597,3.0,1.0,0.0,25.0,1.0
33426004.0,-73.97834,5.0,1.0,0.0,5.0,1.0
10366675.0,-73.99682,5.0,1.0,0.0,52.0,1.0
815977.0,-73.94576,116.0,2.0,135.0,12.0,1.0
207640201.0,-73.89612,7.0,1.0,158.0,161.0,2.0
5810195.0,-73.92863,46.0,2.0,357.0,18.0,0.0
35998113.0,-73.91188,114.0,3.0,0.0,6.0,2.0
1240820.0,-73.95585,114.0,3.0,79.0,12.0,1.0
28316764.0,-73.94441,4.0,1.0,0.0,12.0,0.0
2999445.0,-73.98105,36.0,1.0,0.0,19.0,1.0
5612625.0,-73.96715,55.0,1.0,0.0,8.0,0.0
222461823.0,-73.91097,27.0,1.0,303.0,56.0,1.0
19877163.0,-73.97952,1.0,1.0,0.0,38.0,0.0
269837702.0,-73.98217,0.0,1.0,117.0,71.0,1.0
66734347.0,-73.9886,2.0,1.0,0.0,19.0,1.0
42729298.0,-73.95805,122.0,2.0,11.0,12.0,0.0
5079985.0,-73.98257,4.0,1.0,188.0,1.0,1.0
11048791.0,-73.91621,2.0,1.0,0.0,21.0,0.0
94531229.0,-73.94125,6.0,1.0,48.0,12.0,1.0
206229239.0,-73.76376,12.0,1.0,161.0,46.0,1.0
34360053.0,-73.94473,1.0,1.0,0.0,6.0,1.0
25268374.0,-73.94496,0.0,1.0,0.0,15.0,0.0
73222575.0,-73.90827,6.0,1.0,12.0,49.0,0.0
32527579.0,-73.95857,8.0,1.0,0.0,12.0,0.0
132485563.0,-73.95273,2.0,2.0,342.0,28.0,0.0
270280544.0,-73.81539,4.0,1.0,208.0,94.0,1.0
12120448.0,-73.9094,27.0,1.0,190.0,44.0,0.0
18570567.0,-73.95039,0.0,1.0,0.0,6.0,1.0
1513294.0,-73.91187,17.0,2.0,74.0,21.0,0.0
135932425.0,-73.93016,1.0,1.0,0.0,30.0,0.0
8552126.0,-73.76951,146.0,2.0,23.0,46.0,1.0
24295412.0,-73.92513,0.0,1.0,0.0,56.0,0.0
789257.0,-73.98042,129.0,1.0,14.0,8.0,1.0
7748022.0,-73.98108,5.0,1.0,0.0,26.0,1.0
259226302.0,-73.95867,0.0,1.0,248.0,22.0,0.0
43706661.0,-73.96631,1.0,1.0,16.0,12.0,1.0
196273418.0,-73.95899,0.0,1.0,305.0,12.0,0.0
7569336.0,-73.94682,1.0,1.0,64.0,15.0,0.0
75561563.0,-73.96038,25.0,1.0,0.0,28.0,1.0
205820814.0,-73.92751,0.0,1.0,180.0,42.0,0.0
251817531.0,-73.95457,0.0,4.0,275.0,6.0,1.0
1137079.0,-73.93022,76.0,1.0,234.0,21.0,0.0
25812202.0,-73.94781,2.0,1.0,21.0,20.0,0.0
18418581.0,-73.93198,28.0,3.0,364.0,30.0,1.0
4628742.0,-74.00302,6.0,1.0,0.0,11.0,1.0
207213839.0,-74.01898,0.0,1.0,0.0,79.0,1.0
40313256.0,-73.93,0.0,1.0,0.0,12.0,1.0
26377263.0,-73.93657,0.0,43.0,347.0,54.0,0.0
16534981.0,-73.90947,3.0,5.0,312.0,6.0,1.0
268585880.0,-73.94397,0.0,2.0,1.0,12.0,1.0
21571748.0,-73.97501,1.0,1.0,0.0,17.0,1.0
16026189.0,-73.95072,7.0,2.0,66.0,28.0,0.0
26388084.0,-73.91361,42.0,2.0,1.0,39.0,0.0
84523696.0,-73.91993,3.0,1.0,0.0,21.0,0.0
9593224.0,-73.9962,0.0,1.0,0.0,14.0,1.0
182670.0,-73.98308,12.0,1.0,38.0,23.0,1.0
250374011.0,-74.01043,12.0,1.0,35.0,11.0,0.0
1351409.0,-73.96854,15.0,1.0,358.0,12.0,0.0
2363889.0,-73.97895,7.0,1.0,27.0,23.0,1.0
17266994.0,-73.95647,91.0,2.0,223.0,45.0,1.0
84607966.0,-73.92075,168.0,3.0,322.0,39.0,0.0
61396454.0,-73.96522,0.0,14.0,332.0,1.0,1.0
4292600.0,-73.9733,9.0,1.0,0.0,13.0,1.0
135269204.0,-73.96677,3.0,1.0,189.0,3.0,1.0
11727149.0,-73.9425,19.0,1.0,0.0,12.0,1.0
2707940.0,-73.98496,2.0,1.0,0.0,23.0,1.0
56728868.0,-73.94789,0.0,1.0,0.0,28.0,1.0
2156741.0,-73.8466,37.0,1.0,21.0,63.0,1.0
110001729.0,-73.95211,3.0,1.0,35.0,2.0,1.0
59553953.0,-73.93038,0.0,1.0,39.0,25.0,1.0
